"","location","parameter","value","unit","country","city","latitude","longitude","dateUTC","dateLocal","cityURL","locationURL"
"1","Rohini, Delhi - DPCC","pm10",85,"µg/m³","IN","Delhi",28.732528,77.11992,2020-03-28 00:00:00,2020-03-28,"Delhi","Rohini%2C+Delhi+-+DPCC"
"2","Patparganj, Delhi - DPCC","pm10",16,"µg/m³","IN","Delhi",28.623748,77.287205,2020-03-28 00:00:00,2020-03-28,"Delhi","Patparganj%2C+Delhi+-+DPCC"
"3","Dr. Karni Singh Shooting Range, Delhi - DPCC","pm10",14,"µg/m³","IN","Delhi",28.498571,77.26484,2020-03-28 00:00:00,2020-03-28,"Delhi","Dr.+Karni+Singh+Shooting+Range%2C+Delhi+-+DPCC"
"4","Anand Vihar, Delhi - DPCC","pm10",12,"µg/m³","IN","Delhi",28.646835,77.316032,2020-03-28 00:00:00,2020-03-28,"Delhi","Anand+Vihar%2C+Delhi+-+DPCC"
"5","Jawaharlal Nehru Stadium, Delhi - DPCC","pm10",18,"µg/m³","IN","Delhi",28.58028,77.233829,2020-03-28 00:00:00,2020-03-28,"Delhi","Jawaharlal+Nehru+Stadium%2C+Delhi+-+DPCC"
"6","Ashok Vihar, Delhi - DPCC","pm10",41,"µg/m³","IN","Delhi",28.695381,77.181665,2020-03-28 00:00:00,2020-03-28,"Delhi","Ashok+Vihar%2C+Delhi+-+DPCC"
"7","R K Puram, Delhi - DPCC","pm10",17,"µg/m³","IN","Delhi",28.563262,77.186937,2020-03-28 00:00:00,2020-03-28,"Delhi","R+K+Puram%2C+Delhi+-+DPCC"
"8","Dwarka-Sector 8, Delhi - DPCC ","pm10",27,"µg/m³","IN","Delhi",28.5710274,77.0719006,2020-03-28 00:00:00,2020-03-28,"Delhi","Dwarka-Sector+8%2C+Delhi+-+DPCC+"
"9","IGI Airport (T3), Delhi - IMD","pm10",25.01,"µg/m³","IN","Delhi",28.5627763,77.1180053,2020-03-28 00:00:00,2020-03-28,"Delhi","IGI+Airport+%28T3%29%2C+Delhi+-+IMD"
"10","Mandir Marg, Delhi - DPCC","pm10",23,"µg/m³","IN","Delhi",28.636429,77.201067,2020-03-28 00:00:00,2020-03-28,"Delhi","Mandir+Marg%2C+Delhi+-+DPCC"
"11","North Campus, DU, Delhi - IMD","pm10",51.72,"µg/m³","IN","Delhi",28.6573814,77.1585447,2020-03-28 00:00:00,2020-03-28,"Delhi","North+Campus%2C+DU%2C+Delhi+-+IMD"
"12","Lodhi Road, Delhi - IMD","pm10",15.92,"µg/m³","IN","Delhi",28.5918245,77.2273074,2020-03-28 00:00:00,2020-03-28,"Delhi","Lodhi+Road%2C+Delhi+-+IMD"
"13","Pusa, Delhi - IMD","pm10",1.63,"µg/m³","IN","Delhi",28.639645,77.146263,2020-03-28 00:00:00,2020-03-28,"Delhi","Pusa%2C+Delhi+-+IMD"
"14","Major Dhyan Chand National Stadium, Delhi - DPCC","pm10",18,"µg/m³","IN","Delhi",28.611281,77.237738,2020-03-28 00:00:00,2020-03-28,"Delhi","Major+Dhyan+Chand+National+Stadium%2C+Delhi+-+DPCC"
"15","Aya Nagar, Delhi - IMD","pm10",12.31,"µg/m³","IN","Delhi",28.4706914,77.1099364,2020-03-28 00:00:00,2020-03-28,"Delhi","Aya+Nagar%2C+Delhi+-+IMD"
